"Date","SP500","NASDAQ","DowJones","FTSE100","DAX","CAC40","Nikkei225","HangSeng","SSEComposite","KOSPI","Sensex"
2004-06-30,1140.83996582031,2047.7900390625,10435.48046875,4464.10009765625,4052.72998046875,3732.98999023438,11858.8701171875,12285.75,1399.16198730469,785.789978027344,4795.4599609375
2004-07-31,1101.71997070312,1887.35998535156,10139.7099609375,4413.10009765625,3895.61010742188,3647.10009765625,11325.7802734375,12238.0302734375,1386.20202636719,735.340026855469,5170.31982421875
2004-08-31,1104.23999023438,1838.09997558594,10173.919921875,4459.2998046875,3785.2099609375,3594.28002929688,11081.7900390625,12850.2802734375,1342.06201171875,803.570007324219,5192.080078125
2004-09-30,1114.57995605469,1896.83996582031,10080.26953125,4570.7998046875,3892.89990234375,3640.61010742188,10823.5703125,13120.0302734375,1396.69995117188,835.090026855469,5583.60986328125
2004-10-31,1130.19995117188,1974.98999023438,10027.4697265625,4624.2001953125,3960.25,3706.82006835938,10771.419921875,13054.66015625,1320.53601074219,834.840026855469,5672.27001953125
2004-11-30,1173.81994628906,2096.81005859375,10428.01953125,4703.2001953125,4126,3753.75,10899.25,14060.0498046875,1340.77099609375,878.059997558594,6234.2900390625
2004-12-31,1211.92004394531,2175.43994140625,10783.009765625,4814.2998046875,NA,3821.15991210938,NA,14230.1396484375,1266.49597167969,NA,6602.68994140625
2005-01-31,1181.27001953125,2062.40991210938,10489.9404296875,4852.2998046875,4254.85009765625,3913.68994140625,11387.58984375,13721.6904296875,1191.82299804688,932.700012207031,6555.93994140625
2005-02-28,1203.59997558594,2051.71997070312,10766.23046875,4968.5,4350.490234375,4027.15991210938,11740.599609375,14195.349609375,1306.00305175781,1011.35998535156,6713.85986328125
2005-03-31,1180.58996582031,1999.22998046875,10503.759765625,4894.39990234375,4348.77001953125,4067.78002929688,11668.9501953125,13516.8798828125,1181.23596191406,965.679992675781,6492.81982421875
2005-04-30,1156.84997558594,1921.65002441406,10192.509765625,4801.7001953125,4184.83984375,3911.7099609375,NA,13908.9697265625,1159.14599609375,911.299987792969,6154.43994140625
2005-05-31,1191.5,2068.21997070312,10467.48046875,4964,4460.6298828125,4120.72998046875,11276.58984375,13867.0703125,1060.73803710938,970.210021972656,6715.10986328125
2005-06-30,1191.32995605469,2056.9599609375,10274.9697265625,5113.2001953125,4586.27978515625,4229.35009765625,11584.009765625,14201.0595703125,1080.93798828125,1008.15997314453,7193.85009765625
2005-07-31,1234.18005371094,2184.830078125,10640.91015625,5282.2998046875,4886.5,4451.740234375,11899.599609375,14880.98046875,1083.03295898438,1111.2900390625,7635.419921875
2005-08-31,1220.32995605469,2152.09008789062,10481.599609375,5296.89990234375,4829.68994140625,4399.35986328125,12413.599609375,14903.5498046875,1162.79797363281,1083.32995605469,7805.43017578125
2005-09-30,1228.81005859375,2151.68994140625,10568.7001953125,5477.7001953125,5044.1201171875,4600.02001953125,13574.2998046875,15428.51953125,1155.61401367188,1221.01000976562,8634.48046875
2005-10-31,1207.01000976562,2120.30004882812,10440.0703125,5317.2998046875,4929.06982421875,4436.4501953125,13606.5,14386.3701171875,1092.81701660156,1158.10998535156,7892.31982421875
